"filename", "language", "Dart", "comment", "blank", "total"
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\config.dart", "Dart", 3, 0, 1, 4
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\main.dart", "Dart", 88, 10, 16, 114
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\admin_dashboard.dart", "Dart", 78, 1, 8, 87
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\auth\login_page.dart", "Dart", 354, 18, 28, 400
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\auth\signup_page.dart", "Dart", 471, 28, 40, 539
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\community\add_community_page.dart", "Dart", 366, 15, 35, 416
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\community\community_approval_page.dart", "Dart", 128, 4, 12, 144
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\community\community_page.dart", "Dart", 400, 33, 43, 476
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\community\community_profile_page.dart", "Dart", 640, 17, 36, 693
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\community\community_selection_page.dart", "Dart", 116, 5, 11, 132
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\community\create_unite_page.dart", "Dart", 108, 3, 10, 121
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\community\edit_community_page.dart", "Dart", 235, 9, 24, 268
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\community\menu_community.dart", "Dart", 104, 10, 13, 127
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\community\unite_detail_page.dart", "Dart", 363, 15, 33, 411
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\community\unite_reply_page.dart", "Dart", 241, 3, 14, 258
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\event\add_event_page.dart", "Dart", 427, 33, 50, 510
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\event\event_description_page.dart", "Dart", 86, 2, 8, 96
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\event\event_register_page.dart", "Dart", 184, 7, 22, 213
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\event\owner_event_detail_page.dart", "Dart", 443, 22, 34, 499
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\event\select_organizer_page.dart", "Dart", 119, 0, 8, 127
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\communites\event\user_event_detail_page.dart", "Dart", 379, 10, 23, 412
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\event_participants_page.dart", "Dart", 218, 1, 19, 238
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\home\home_page.dart", "Dart", 167, 11, 12, 190
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\home\notification_detail_post_page.dart", "Dart", 163, 14, 17, 194
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\home\notification_page.dart", "Dart", 97, 1, 11, 109
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\main_screen.dart", "Dart", 72, 8, 15, 95
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\post\add_post_page.dart", "Dart", 307, 29, 23, 359
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\post\location_search_page.dart", "Dart", 112, 6, 12, 130
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\post\post_upload_page.dart", "Dart", 259, 15, 28, 302
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\post\tag_search_page.dart", "Dart", 151, 10, 20, 181
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\profile\detail_post_page.dart", "Dart", 158, 12, 16, 186
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\profile\edit_profile_page.dart", "Dart", 338, 18, 31, 387
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\profile\profile_page.dart", "Dart", 544, 21, 42, 607
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\profile\settings_page.dart", "Dart", 97, 5, 9, 111
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\profile\visit_profile_page.dart", "Dart", 434, 11, 32, 477
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\search_page.dart", "Dart", 462, 24, 43, 529
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\screens\search_post_detail_page.dart", "Dart", 89, 11, 15, 115
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\approval_item.dart", "Dart", 231, 18, 15, 264
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\blur_header.dart", "Dart", 42, 5, 6, 53
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\caption_editor_page.dart", "Dart", 66, 1, 8, 75
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\comment_item.dart", "Dart", 175, 10, 18, 203
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\comment_sheet.dart", "Dart", 279, 18, 29, 326
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\custom_button.dart", "Dart", 21, 1, 4, 26
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\custom_navbar.dart", "Dart", 87, 6, 9, 102
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\location_input_widget.dart", "Dart", 247, 16, 32, 295
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\notification_item.dart", "Dart", 110, 6, 10, 126
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\owner_event_card.dart", "Dart", 82, 5, 7, 94
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\participant_card_.dart", "Dart", 292, 19, 17, 328
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\post_crop_preview.dart", "Dart", 200, 5, 28, 233
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\post_item.dart", "Dart", 336, 6, 24, 366
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\post_options_sheet.dart", "Dart", 275, 14, 23, 312
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\search_community_card.dart", "Dart", 69, 3, 6, 78
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\search_user_card.dart", "Dart", 46, 4, 5, 55
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\unite_item.dart", "Dart", 154, 18, 20, 192
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\unite_menu_sheet.dart", "Dart", 192, 6, 18, 216
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\user_event_card.dart", "Dart", 153, 12, 8, 173
"d:\kuliah\APP\PrototypingAlfa\tugas_application_1\lib\widgets\verification_badge.dart", "Dart", 22, 0, 3, 25
"Total", "-", 12080, 615, 1104, 13799